"store_id";"store_name";"city";"state";"order_year";"order_month";"yr_month";"total_orders";"gross_revenue";"total_discount";"net_revenue"
3;"Rowlett Bikes";"Rowlett";"TX";2017;6;"2017-06";12;78915.37;7262.4303;71652.9397
3;"Rowlett Bikes";"Rowlett";"TX";2017;7;"2017-07";2;1739.95;121.7965;1618.1535
3;"Rowlett Bikes";"Rowlett";"TX";2017;8;"2017-08";9;57483.55;5361.4408;52122.1092
3;"Rowlett Bikes";"Rowlett";"TX";2017;9;"2017-09";5;61617.66;8347.7245;53269.9355
3;"Rowlett Bikes";"Rowlett";"TX";2017;10;"2017-10";5;23119.75;1724.3399;21395.4101
3;"Rowlett Bikes";"Rowlett";"TX";2017;11;"2017-11";2;19849.95;1734.9946;18114.9554
3;"Rowlett Bikes";"Rowlett";"TX";2017;12;"2017-12";4;23969.8;2650.0779;21319.7221
3;"Rowlett Bikes";"Rowlett";"TX";2018;1;"2018-01";7;48425.72;3486.1765;44939.5435
3;"Rowlett Bikes";"Rowlett";"TX";2018;2;"2018-02";3;22459.85;1384.4902;21075.3598
3;"Rowlett Bikes";"Rowlett";"TX";2018;3;"2018-03";7;31422.63;3404.2341;28018.3959
3;"Rowlett Bikes";"Rowlett";"TX";2018;4;"2018-04";13;84389.52;8780.2495;75609.2705
3;"Rowlett Bikes";"Rowlett";"TX";2018;7;"2018-07";2;10889.92;1508.9913;9380.9287
3;"Rowlett Bikes";"Rowlett";"TX";2018;11;"2018-11";1;6638.96;534.9246;6104.0354
3;"Rowlett Bikes";"Rowlett";"TX";2018;12;"2018-12";1;7999.96;1482.9933;6516.9667
