store_name,product_name,stock_remaining
"Rowlett Bikes","Electra Townie Commute 27D - 2018",1
"Rowlett Bikes","Trek Superfly 24 - 2017/2018",1
"Rowlett Bikes","Electra Heartchya 1 (20-inch) - Girl's - 2018",1
"Santa Cruz Bikes","Pure Cycles Vine 8-Speed - 2016",2
"Santa Cruz Bikes","Surly Wednesday - 2017",2
"Santa Cruz Bikes","Trek Session DH 27.5 Carbon Frameset - 2017",2
"Santa Cruz Bikes","Trek Stache 5 - 2017",2
"Santa Cruz Bikes","Trek Fuel EX 9.8 27.5 Plus - 2017",2
"Santa Cruz Bikes","Trek Silque SLR 8 Women's - 2017",2
"Santa Cruz Bikes","Trek Domane ALR Frameset - 2018",2
"Santa Cruz Bikes","Trek Domane SLR Frameset - 2018",2
"Santa Cruz Bikes","Electra Townie Commute Go! Ladies' - 2018",2
"Santa Cruz Bikes","Electra Townie Commute Go! - 2018",2
"Santa Cruz Bikes","Electra Straight 8 1 (16-inch) - Boy's - 2018",2
"Santa Cruz Bikes","Electra Superbolt 1 20" - 2018"",2
"Baldwin Bikes","Trek Fuel EX 8 29 - 2016",2
"Baldwin Bikes","Electra Townie Original 21D - 2016",2
"Baldwin Bikes","Electra Townie Original 7D EQ - 2016",2
"Baldwin Bikes","Trek Fuel EX 9.8 27.5 Plus - 2017",2
"Baldwin Bikes","Haro Shredder Pro 20 - 2017",2
"Baldwin Bikes","Trek Domane ALR 4 Disc Women's - 2018",2
"Baldwin Bikes","Trek CrossRip 2 - 2018",2
"Baldwin Bikes","Electra Townie Commute 8D Ladies' - 2018",2
"Baldwin Bikes","Electra Townie Commute 8D Ladies' - 2018",2
"Rowlett Bikes","Trek Fuel EX 9.8 29 - 2017",2
"Rowlett Bikes","Trek Emonda S 4 - 2017",2
"Rowlett Bikes","Trek Silque SLR 8 Women's - 2017",2
"Rowlett Bikes","Electra Amsterdam Original 3i - 2015/2017",2
"Rowlett Bikes","Trek Kids' Dual Sport - 2018",2
"Rowlett Bikes","Trek Domane SLR 6 Disc - 2018",2
"Rowlett Bikes","Trek Neko+ - 2018",2
"Rowlett Bikes","Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018",2
"Rowlett Bikes","Electra Soft Serve 1 (16-inch) - Girl's - 2018",2
"Rowlett Bikes","Electra Straight 8 1 (20-inch) - Boy's - 2018",2
"Rowlett Bikes","Electra Superbolt 1 20" - 2018"",2
"Santa Cruz Bikes","Electra Moto 1 - 2016",3
"Santa Cruz Bikes","Electra Amsterdam Original 3i - 2015/2017",3
"Santa Cruz Bikes","Trek Marlin 6 - 2018",3
"Santa Cruz Bikes","Trek Remedy 9.8 27.5 - 2018",3
"Santa Cruz Bikes","Trek Domane SL 6 - 2018",3
"Santa Cruz Bikes","Trek Domane ALR Disc Frameset - 2018",3
"Santa Cruz Bikes","Trek Conduit+ - 2018",3
"Santa Cruz Bikes","Electra Cruiser Lux 3i - 2018",3
"Santa Cruz Bikes","Electra Townie Original 3i EQ - 2017/2018",3
"Santa Cruz Bikes","Electra Townie Go! 8i - 2017/2018",3
"Santa Cruz Bikes","Electra Townie Balloon 7i EQ - 2018",3
"Santa Cruz Bikes","Electra Tiger Shark 3i (20-inch) - Boys' - 2018",3
"Baldwin Bikes","Pure Cycles Vine 8-Speed - 2016",3
"Baldwin Bikes","Sun Bicycles Streamway 7 - 2017",3
"Baldwin Bikes","Surly Krampus Frameset - 2018",3
"Baldwin Bikes","Trek Domane SLR 6 - 2018",3
"Baldwin Bikes","Trek Domane AL 3 Women's - 2018",3
"Baldwin Bikes","Trek Kickster - 2018",3
"Baldwin Bikes","Trek Precaliber 20 Girl's - 2018",3
"Baldwin Bikes","Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018",3
"Baldwin Bikes","Electra Starship 1 16" - 2018"",3
"Rowlett Bikes","Heller Shagamaw Frame - 2016",3
"Rowlett Bikes","Sun Bicycles Spider 3i - 2017",3
"Rowlett Bikes","Sun Bicycles Revolutions 24 - 2017",3
"Rowlett Bikes","Sun Bicycles Brickell Tandem 7 - 2017",3
"Rowlett Bikes","Trek Remedy 9.8 27.5 - 2018",3
"Rowlett Bikes","Trek Domane ALR 5 Gravel - 2018",3
"Rowlett Bikes","Trek Emonda SLR 8 - 2018",3
"Rowlett Bikes","Trek Domane SLR Frameset - 2018",3
"Rowlett Bikes","Trek Super Commuter+ 8S - 2018",3
"Rowlett Bikes","Surly Straggler 650b - 2018",3
"Rowlett Bikes","Electra Morningstar 3i Ladies' - 2018",3
"Rowlett Bikes","Electra Townie Original 7D EQ - 2018",3
"Rowlett Bikes","Electra Townie Balloon 3i EQ Ladies' - 2018",3
"Santa Cruz Bikes","Electra Townie Original 7D EQ - 2016",4
"Santa Cruz Bikes","Pure Cycles William 3-Speed - 2016",4
"Santa Cruz Bikes","Trek Boone Race Shop Limited - 2017",4
"Santa Cruz Bikes","Sun Bicycles Cruz 7 - 2017",4
"Santa Cruz Bikes","Trek Precaliber 16 Girls - 2017",4
"Santa Cruz Bikes","Trek Domane SL 6 Disc - 2018",4
"Santa Cruz Bikes","Trek Powerfly 7 FS - 2018",4
"Santa Cruz Bikes","Electra Tiger Shark 3i - 2018",4
"Santa Cruz Bikes","Electra Cruiser 1 Ladies' - 2018",4
"Baldwin Bikes","Trek Domane SL 6 - 2017",4
"Baldwin Bikes","Trek Boone 7 - 2017",4
"Baldwin Bikes","Sun Bicycles Biscayne Tandem CB - 2017",4
"Baldwin Bikes","Electra Amsterdam Original 3i Ladies' - 2017",4
"Baldwin Bikes","Electra Townie 7D (20-inch) - Boys' - 2017",4
"Baldwin Bikes","Surly Krampus - 2018",4
"Baldwin Bikes","Trek Domane ALR 4 Disc - 2018",4
"Baldwin Bikes","Trek Emonda SLR 6 - 2018",4
"Baldwin Bikes","Trek Conduit+ - 2018",4
"Baldwin Bikes","Surly Straggler 650b - 2018",4
"Baldwin Bikes","Electra Cruiser Lux 7D - 2018",4
"Baldwin Bikes","Electra Koa 3i Ladies' - 2018",4
"Baldwin Bikes","Electra Townie Balloon 7i EQ - 2018",4
"Baldwin Bikes","Strider Classic 12 Balance Bike - 2018",4
"Baldwin Bikes","Strider Strider 20 Sport - 2018",4
"Baldwin Bikes","Trek Precaliber 12 Boy's - 2018",4
"Baldwin Bikes","Trek Precaliber 24 21-speed Boy's - 2018",4
"Rowlett Bikes","Electra Girl's Hawaii 1 (16-inch) - 2015/2016",4
"Rowlett Bikes","Trek Domane SL 6 - 2017",4
"Rowlett Bikes","Trek Boone 7 - 2017",4
"Rowlett Bikes","Surly Krampus Frameset - 2018",4
"Rowlett Bikes","Surly Pack Rat Frameset - 2018",4
"Rowlett Bikes","Trek Procaliber 6 - 2018",4
"Rowlett Bikes","Trek Stache 5 - 2018",4
"Rowlett Bikes","Electra Straight 8 3i - 2018",4
"Rowlett Bikes","Electra Townie Balloon 3i EQ - 2017/2018",4
