store_name,product_name,brand_name,stock_remaining
"Rowlett Bikes","Trek Domane SL 5 Disc Women's - 2018",Trek,1
"Rowlett Bikes","Trek Domane ALR 4 Disc Women's - 2018",Trek,1
"Rowlett Bikes","Trek Domane SLR 8 Disc - 2018",Trek,1
"Rowlett Bikes","Sun Bicycles Cruz 3 - 2017","Sun Bicycles",1
"Rowlett Bikes","Sun Bicycles Streamway 7 - 2017","Sun Bicycles",1
"Rowlett Bikes","Sun Bicycles Lil Bolt Type-R - 2017","Sun Bicycles",1
"Rowlett Bikes","Haro SR 1.2 - 2017",Haro,1
"Rowlett Bikes","Electra Heartchya 1 (20-inch) - Girl's - 2018",Electra,1
"Rowlett Bikes","Electra Townie Commute 27D - 2018",Electra,1
"Rowlett Bikes","Electra Koa 3i Ladies' - 2018",Electra,1
"Rowlett Bikes","Electra Moto 3i (20-inch) - Boy's - 2017",Electra,1
"Santa Cruz Bikes","Trek Domane SLR Frameset - 2018",Trek,2
"Santa Cruz Bikes","Trek Domane ALR Frameset - 2018",Trek,2
"Santa Cruz Bikes","Trek Silque SLR 8 Women's - 2017",Trek,2
"Santa Cruz Bikes","Trek Fuel EX 9.8 27.5 Plus - 2017",Trek,2
"Santa Cruz Bikes","Trek Stache 5 - 2017",Trek,2
"Santa Cruz Bikes","Trek Session DH 27.5 Carbon Frameset - 2017",Trek,2
"Santa Cruz Bikes","Surly Wednesday - 2017",Surly,2
"Santa Cruz Bikes","Pure Cycles Vine 8-Speed - 2016","Pure Cycles",2
"Santa Cruz Bikes","Electra Superbolt 1 20" - 2018"",Electra,2
"Santa Cruz Bikes","Electra Straight 8 1 (16-inch) - Boy's - 2018",Electra,2
"Santa Cruz Bikes","Electra Townie Commute Go! - 2018",Electra,2
"Santa Cruz Bikes","Electra Townie Commute Go! Ladies' - 2018",Electra,2
"Baldwin Bikes","Trek CrossRip 2 - 2018",Trek,2
"Baldwin Bikes","Trek Domane ALR 4 Disc Women's - 2018",Trek,2
"Baldwin Bikes","Trek Fuel EX 9.8 27.5 Plus - 2017",Trek,2
"Baldwin Bikes","Trek Fuel EX 8 29 - 2016",Trek,2
"Baldwin Bikes","Haro Shredder Pro 20 - 2017",Haro,2
"Baldwin Bikes","Electra Townie Commute 8D Ladies' - 2018",Electra,2
"Baldwin Bikes","Electra Townie Commute 8D Ladies' - 2018",Electra,2
"Baldwin Bikes","Electra Townie Original 7D EQ - 2016",Electra,2
"Baldwin Bikes","Electra Townie Original 21D - 2016",Electra,2
"Rowlett Bikes","Trek Neko+ - 2018",Trek,2
"Rowlett Bikes","Trek Domane SLR 6 Disc - 2018",Trek,2
"Rowlett Bikes","Trek Kids' Dual Sport - 2018",Trek,2
"Rowlett Bikes","Trek Silque SLR 8 Women's - 2017",Trek,2
"Rowlett Bikes","Trek Emonda S 4 - 2017",Trek,2
"Rowlett Bikes","Trek Fuel EX 9.8 29 - 2017",Trek,2
"Rowlett Bikes","Electra Superbolt 1 20" - 2018"",Electra,2
"Rowlett Bikes","Electra Straight 8 1 (20-inch) - Boy's - 2018",Electra,2
"Rowlett Bikes","Electra Soft Serve 1 (16-inch) - Girl's - 2018",Electra,2
"Rowlett Bikes","Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018",Electra,2
"Rowlett Bikes","Electra Amsterdam Original 3i - 2015/2017",Electra,2
"Santa Cruz Bikes","Trek Conduit+ - 2018",Trek,3
"Santa Cruz Bikes","Trek Domane ALR Disc Frameset - 2018",Trek,3
"Santa Cruz Bikes","Trek Domane SL 6 - 2018",Trek,3
"Santa Cruz Bikes","Trek Remedy 9.8 27.5 - 2018",Trek,3
"Santa Cruz Bikes","Trek Marlin 6 - 2018",Trek,3
"Santa Cruz Bikes","Electra Tiger Shark 3i (20-inch) - Boys' - 2018",Electra,3
"Santa Cruz Bikes","Electra Townie Balloon 7i EQ - 2018",Electra,3
"Santa Cruz Bikes","Electra Townie Go! 8i - 2017/2018",Electra,3
"Santa Cruz Bikes","Electra Townie Original 3i EQ - 2017/2018",Electra,3
"Santa Cruz Bikes","Electra Cruiser Lux 3i - 2018",Electra,3
"Santa Cruz Bikes","Electra Amsterdam Original 3i - 2015/2017",Electra,3
"Santa Cruz Bikes","Electra Moto 1 - 2016",Electra,3
"Baldwin Bikes","Trek Precaliber 20 Girl's - 2018",Trek,3
"Baldwin Bikes","Trek Kickster - 2018",Trek,3
"Baldwin Bikes","Trek Domane AL 3 Women's - 2018",Trek,3
"Baldwin Bikes","Trek Domane SLR 6 - 2018",Trek,3
"Baldwin Bikes","Surly Krampus Frameset - 2018",Surly,3
"Baldwin Bikes","Sun Bicycles Streamway 7 - 2017","Sun Bicycles",3
"Baldwin Bikes","Pure Cycles Vine 8-Speed - 2016","Pure Cycles",3
"Baldwin Bikes","Electra Starship 1 16" - 2018"",Electra,3
"Baldwin Bikes","Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018",Electra,3
"Rowlett Bikes","Trek Super Commuter+ 8S - 2018",Trek,3
"Rowlett Bikes","Trek Domane SLR Frameset - 2018",Trek,3
"Rowlett Bikes","Trek Emonda SLR 8 - 2018",Trek,3
"Rowlett Bikes","Trek Domane ALR 5 Gravel - 2018",Trek,3
"Rowlett Bikes","Trek Remedy 9.8 27.5 - 2018",Trek,3
"Rowlett Bikes","Surly Straggler 650b - 2018",Surly,3
"Rowlett Bikes","Sun Bicycles Brickell Tandem 7 - 2017","Sun Bicycles",3
"Rowlett Bikes","Sun Bicycles Revolutions 24 - 2017","Sun Bicycles",3
"Rowlett Bikes","Sun Bicycles Spider 3i - 2017","Sun Bicycles",3
"Rowlett Bikes","Heller Shagamaw Frame - 2016",Heller,3
"Rowlett Bikes","Electra Townie Balloon 3i EQ Ladies' - 2018",Electra,3
"Rowlett Bikes","Electra Townie Original 7D EQ - 2018",Electra,3
"Rowlett Bikes","Electra Morningstar 3i Ladies' - 2018",Electra,3
"Santa Cruz Bikes","Trek Powerfly 7 FS - 2018",Trek,4
"Santa Cruz Bikes","Trek Domane SL 6 Disc - 2018",Trek,4
"Santa Cruz Bikes","Trek Precaliber 16 Girls - 2017",Trek,4
"Santa Cruz Bikes","Trek Boone Race Shop Limited - 2017",Trek,4
"Santa Cruz Bikes","Sun Bicycles Cruz 7 - 2017","Sun Bicycles",4
"Santa Cruz Bikes","Pure Cycles William 3-Speed - 2016","Pure Cycles",4
"Santa Cruz Bikes","Electra Cruiser 1 Ladies' - 2018",Electra,4
"Santa Cruz Bikes","Electra Tiger Shark 3i - 2018",Electra,4
"Santa Cruz Bikes","Electra Townie Original 7D EQ - 2016",Electra,4
"Baldwin Bikes","Trek Precaliber 24 21-speed Boy's - 2018",Trek,4
"Baldwin Bikes","Trek Precaliber 12 Boy's - 2018",Trek,4
"Baldwin Bikes","Trek Conduit+ - 2018",Trek,4
"Baldwin Bikes","Trek Emonda SLR 6 - 2018",Trek,4
"Baldwin Bikes","Trek Domane ALR 4 Disc - 2018",Trek,4
"Baldwin Bikes","Trek Boone 7 - 2017",Trek,4
"Baldwin Bikes","Trek Domane SL 6 - 2017",Trek,4
"Baldwin Bikes","Surly Straggler 650b - 2018",Surly,4
"Baldwin Bikes","Surly Krampus - 2018",Surly,4
"Baldwin Bikes","Sun Bicycles Biscayne Tandem CB - 2017","Sun Bicycles",4
"Baldwin Bikes","Strider Strider 20 Sport - 2018",Strider,4
"Baldwin Bikes","Strider Classic 12 Balance Bike - 2018",Strider,4
"Baldwin Bikes","Electra Townie Balloon 7i EQ - 2018",Electra,4
"Baldwin Bikes","Electra Koa 3i Ladies' - 2018",Electra,4
"Baldwin Bikes","Electra Cruiser Lux 7D - 2018",Electra,4
"Baldwin Bikes","Electra Townie 7D (20-inch) - Boys' - 2017",Electra,4
"Baldwin Bikes","Electra Amsterdam Original 3i Ladies' - 2017",Electra,4
"Rowlett Bikes","Trek Stache 5 - 2018",Trek,4
"Rowlett Bikes","Trek Procaliber 6 - 2018",Trek,4
"Rowlett Bikes","Trek Boone 7 - 2017",Trek,4
"Rowlett Bikes","Trek Domane SL 6 - 2017",Trek,4
"Rowlett Bikes","Surly Pack Rat Frameset - 2018",Surly,4
"Rowlett Bikes","Surly Krampus Frameset - 2018",Surly,4
"Rowlett Bikes","Electra Townie Balloon 3i EQ - 2017/2018",Electra,4
"Rowlett Bikes","Electra Straight 8 3i - 2018",Electra,4
"Rowlett Bikes","Electra Girl's Hawaii 1 (16-inch) - 2015/2016",Electra,4
"Santa Cruz Bikes","Trek Powerfly 5 Women's - 2018",Trek,5
"Santa Cruz Bikes","Trek Domane AL 3 Women's - 2018",Trek,5
"Santa Cruz Bikes","Trek Domane ALR 5 Disc - 2018",Trek,5
"Santa Cruz Bikes","Trek Emonda S 4 - 2017",Trek,5
"Santa Cruz Bikes","Ritchey Timberwolf Frameset - 2016",Ritchey,5
"Santa Cruz Bikes","Electra Cruiser Lux Fat Tire 7D - 2018",Electra,5
"Santa Cruz Bikes","Electra Cruiser Lux 7D Ladies' - 2018",Electra,5
"Baldwin Bikes","Trek Boone Race Shop Limited - 2017",Trek,5
"Baldwin Bikes","Trek Domane S 6 - 2017",Trek,5
"Baldwin Bikes","Haro Flightline One ST - 2017",Haro,5
"Baldwin Bikes","Electra Townie Commute 27D Ladies - 2018",Electra,5
"Baldwin Bikes","Electra Superbolt 1 20" - 2018"",Electra,5
"Baldwin Bikes","Electra Amsterdam Fashion 3i Ladies' - 2017/2018",Electra,5
"Baldwin Bikes","Electra Townie Original 21D EQ - 2017/2018",Electra,5
"Rowlett Bikes","Trek Lift+ - 2018",Trek,5
"Rowlett Bikes","Trek Domane S 6 - 2017",Trek,5
"Rowlett Bikes","Surly Big Fat Dummy Frameset - 2018",Surly,5
"Rowlett Bikes","Pure Cycles Western 3-Speed - Women's - 2015/2016","Pure Cycles",5
"Rowlett Bikes","Electra Townie Balloon 3i EQ Ladies' - 2018",Electra,5
"Rowlett Bikes","Electra Townie Original 21D Ladies' - 2018",Electra,5
"Rowlett Bikes","Electra Townie Commute 8D Ladies' - 2018",Electra,5
"Rowlett Bikes","Electra Super Moto 8i - 2018",Electra,5
"Rowlett Bikes","Electra Townie Commute Go! Ladies' - 2018",Electra,5
"Rowlett Bikes","Electra Straight 8 3i (20-inch) - Boy's - 2017",Electra,5
"Santa Cruz Bikes","Trek Precaliber 16 Girl's - 2018",Trek,6
"Santa Cruz Bikes","Trek MT 201 - 2018",Trek,6
"Santa Cruz Bikes","Trek Lift+ Lowstep - 2018",Trek,6
"Santa Cruz Bikes","Trek Domane SL 8 Disc - 2018",Trek,6
"Santa Cruz Bikes","Trek Domane SLR 6 - 2018",Trek,6
"Santa Cruz Bikes","Trek Fuel EX 5 Plus - 2018",Trek,6
"Santa Cruz Bikes","Surly Wednesday Frameset - 2016",Surly,6
"Santa Cruz Bikes","Haro Shredder Pro 20 - 2017",Haro,6
"Santa Cruz Bikes","Electra Cyclosaurus 1 (16-inch) - Boy's - 2018",Electra,6
"Baldwin Bikes","Trek 1120 - 2018",Trek,6
"Baldwin Bikes","Trek Procal AL Frameset - 2018",Trek,6
"Baldwin Bikes","Trek Domane SL Disc Frameset - 2017",Trek,6
"Baldwin Bikes","Sun Bicycles Drifter 7 - Women's - 2017","Sun Bicycles",6
"Baldwin Bikes","Haro Downtown 16 - 2017",Haro,6
"Baldwin Bikes","Haro Shift R3 - 2017",Haro,6
"Baldwin Bikes","Electra Townie Original 21D EQ - 2017/2018",Electra,6
"Baldwin Bikes","Electra Townie Original 1 - 2018",Electra,6
"Baldwin Bikes","Electra Savannah 1 (20-inch) - Girl's - 2018",Electra,6
"Baldwin Bikes","Electra Townie Balloon 8D EQ - 2016/2017/2018",Electra,6
"Baldwin Bikes","Electra Cruiser 1 Ladies' - 2018",Electra,6
"Baldwin Bikes","Electra Amsterdam Original 3i - 2015/2017",Electra,6
"Baldwin Bikes","Electra Moto 1 - 2016",Electra,6
"Rowlett Bikes","Trek Precaliber 16 Boy's - 2018",Trek,6
"Rowlett Bikes","Trek Powerfly 7 FS - 2018",Trek,6
"Rowlett Bikes","Trek Domane AL 3 Women's - 2018",Trek,6
"Rowlett Bikes","Trek Madone 9 Frameset - 2018",Trek,6
"Rowlett Bikes","Trek Emonda ALR 6 - 2018",Trek,6
"Rowlett Bikes","Trek Domane SL 8 Disc - 2018",Trek,6
"Rowlett Bikes","Trek Session DH 27.5 Carbon Frameset - 2017",Trek,6
"Rowlett Bikes","Surly Ogre Frameset - 2017",Surly,6
"Rowlett Bikes","Sun Bicycles Biscayne Tandem 7 - 2017","Sun Bicycles",6
"Rowlett Bikes","Sun Bicycles Revolutions 24 - Girl's - 2017","Sun Bicycles",6
"Rowlett Bikes","Electra Townie Original 1 - 2018",Electra,6
"Rowlett Bikes","Electra Superbolt 3i 20" - 2018"",Electra,6
"Rowlett Bikes","Electra White Water 3i - 2018",Electra,6
"Rowlett Bikes","Electra Cruiser Lux 3i Ladies' - 2018",Electra,6
"Santa Cruz Bikes","Trek Precaliber 24 (7-Speed) - Boys - 2018",Trek,7
"Santa Cruz Bikes","Trek Domane ALR 4 Disc - 2018",Trek,7
"Santa Cruz Bikes","Trek Precaliber 12 Girls - 2017",Trek,7
"Santa Cruz Bikes","Sun Bicycles Streamway 7 - 2017","Sun Bicycles",7
"Santa Cruz Bikes","Sun Bicycles Brickell Tandem 7 - 2017","Sun Bicycles",7
"Santa Cruz Bikes","Electra Townie Commute 27D - 2018",Electra,7
"Santa Cruz Bikes","Electra Townie Balloon 3i EQ Ladies' - 2018",Electra,7
"Santa Cruz Bikes","Electra Koa 3i Ladies' - 2018",Electra,7
"Santa Cruz Bikes","Electra Cruiser Lux 1 Ladies' - 2018",Electra,7
"Santa Cruz Bikes","Electra Cruiser 7D Ladies' - 2016/2018",Electra,7
"Baldwin Bikes","Trek Powerfly 7 FS - 2018",Trek,7
"Baldwin Bikes","Trek Emonda SL 7 - 2018",Trek,7
"Baldwin Bikes","Trek Marlin 5 - 2018",Trek,7
"Baldwin Bikes","Trek Silque SLR 7 Women's - 2017",Trek,7
"Baldwin Bikes","Sun Bicycles Drifter 7 - 2017","Sun Bicycles",7
"Baldwin Bikes","Sun Bicycles Cruz 3 - 2017","Sun Bicycles",7
"Baldwin Bikes","Electra Under-The-Sea 1 16" - 2018"",Electra,7
"Baldwin Bikes","Electra Tiger Shark 3i (20-inch) - Boys' - 2018",Electra,7
"Baldwin Bikes","Electra Townie Balloon 3i EQ - 2017/2018",Electra,7
"Baldwin Bikes","Electra Morningstar 3i Ladies' - 2018",Electra,7
"Baldwin Bikes","Electra Cruiser 7D Tall - 2016/2018",Electra,7
"Baldwin Bikes","Electra Cruiser Lux 3i - 2018",Electra,7
"Baldwin Bikes","Electra Tiger Shark 3i - 2018",Electra,7
"Rowlett Bikes","Trek Precaliber 20 Boy's - 2018",Trek,7
"Rowlett Bikes","Trek Domane SL 7 Women's - 2018",Trek,7
"Rowlett Bikes","Sun Bicycles ElectroLite - 2017","Sun Bicycles",7
"Rowlett Bikes","Strider Sport 16 - 2018",Strider,7
"Rowlett Bikes","Electra Townie Balloon 7i EQ Ladies' - 2017/2018",Electra,7
"Rowlett Bikes","Electra Starship 1 16" - 2018"",Electra,7
"Rowlett Bikes","Electra Townie Original 3i EQ Ladies' - 2018",Electra,7
"Rowlett Bikes","Electra Townie Original 21D EQ Ladies' - 2018",Electra,7
"Rowlett Bikes","Electra Cruiser Lux 1 - 2016/2018",Electra,7
"Rowlett Bikes","Electra Amsterdam Original 3i Ladies' - 2017",Electra,7
"Santa Cruz Bikes","Trek Domane SLR 9 Disc - 2018",Trek,8
"Santa Cruz Bikes","Trek Domane ALR 5 Gravel - 2018",Trek,8
"Santa Cruz Bikes","Trek Farley Carbon Frameset - 2018",Trek,8
"Santa Cruz Bikes","Trek Precaliber 24 (21-Speed) - Girls - 2017",Trek,8
"Santa Cruz Bikes","Trek Domane SL 6 - 2017",Trek,8
"Santa Cruz Bikes","Trek Slash 8 27.5 - 2016",Trek,8
"Santa Cruz Bikes","Surly Straggler 650b - 2016",Surly,8
"Santa Cruz Bikes","Electra Superbolt 3i 20" - 2018"",Electra,8
"Santa Cruz Bikes","Electra Girl's Hawaii 1 (16-inch) - 2015/2016",Electra,8
"Baldwin Bikes","Trek Precaliber 24 21-speed Girl's - 2018",Trek,8
"Baldwin Bikes","Trek MT 201 - 2018",Trek,8
"Baldwin Bikes","Trek Boone 7 Disc - 2018",Trek,8
"Baldwin Bikes","Trek Domane SLR Disc Frameset - 2018",Trek,8
"Baldwin Bikes","Trek Domane SL Frameset - 2018",Trek,8
"Baldwin Bikes","Trek Procaliber 6 - 2018",Trek,8
"Baldwin Bikes","Trek Precaliber 16 Boys - 2017",Trek,8
"Baldwin Bikes","Trek Precaliber 12 Girls - 2017",Trek,8
"Baldwin Bikes","Trek Silque SLR 8 Women's - 2017",Trek,8
"Baldwin Bikes","Trek Slash 8 27.5 - 2016",Trek,8
"Baldwin Bikes","Surly Wednesday Frameset - 2017",Surly,8
"Baldwin Bikes","Sun Bicycles Revolutions 24 - Girl's - 2017","Sun Bicycles",8
"Baldwin Bikes","Electra Treasure 3i 20" - 2018"",Electra,8
"Baldwin Bikes","Electra Cyclosaurus 1 (16-inch) - Boy's - 2018",Electra,8
"Baldwin Bikes","Electra Townie Commute 27D - 2018",Electra,8
"Baldwin Bikes","Electra Cruiser Lux 3i Ladies' - 2018",Electra,8
"Rowlett Bikes","Trek Verve+ Lowstep - 2018",Trek,8
"Rowlett Bikes","Trek Domane SL 5 - 2018",Trek,8
"Rowlett Bikes","Trek Precaliber 24 (21-Speed) - Girls - 2017",Trek,8
"Rowlett Bikes","Trek Boone Race Shop Limited - 2017",Trek,8
"Rowlett Bikes","Surly ECR Frameset - 2018",Surly,8
"Rowlett Bikes","Surly Troll Frameset - 2018",Surly,8
"Rowlett Bikes","Surly Steamroller - 2017",Surly,8
"Rowlett Bikes","Electra Townie Commute 27D Ladies - 2018",Electra,8
"Rowlett Bikes","Electra Townie Commute 8D - 2018",Electra,8
"Rowlett Bikes","Electra Girl's Hawaii 1 (20-inch) - 2015/2016",Electra,8
"Rowlett Bikes","Electra Cruiser 1 (24-Inch) - 2016",Electra,8
"Santa Cruz Bikes","Trek Super Commuter+ 8S - 2018",Trek,9
"Santa Cruz Bikes","Trek Procaliber Frameset - 2018",Trek,9
"Santa Cruz Bikes","Trek Precaliber 16 Boys - 2017",Trek,9
"Santa Cruz Bikes","Sun Bicycles Biscayne Tandem 7 - 2017","Sun Bicycles",9
"Santa Cruz Bikes","Electra Treasure 3i 20" - 2018"",Electra,9
"Santa Cruz Bikes","Electra Sweet Ride 1 (20-inch) - Girl's - 2018",Electra,9
"Santa Cruz Bikes","Electra Straight 8 1 (20-inch) - Boy's - 2018",Electra,9
"Santa Cruz Bikes","Electra Townie Original 7D - 2017",Electra,9
"Santa Cruz Bikes","Electra Cruiser Lux 1 - 2017",Electra,9
"Santa Cruz Bikes","Electra Girl's Hawaii 1 (20-inch) - 2015/2016",Electra,9
"Baldwin Bikes","Trek Precaliber 24 (7-Speed) - Boys - 2018",Trek,9
"Baldwin Bikes","Trek Boone 5 Disc - 2018",Trek,9
"Baldwin Bikes","Trek Domane SLR 6 Disc - 2018",Trek,9
"Baldwin Bikes","Trek Domane SLR 6 Disc Women's - 2018",Trek,9
"Baldwin Bikes","Surly Straggler 650b - 2018",Surly,9
"Baldwin Bikes","Surly ECR - 2018",Surly,9
"Baldwin Bikes","Heller Bloodhound Trail - 2018",Heller,9
"Baldwin Bikes","Electra Townie Commute 27D - 2018",Electra,9
"Rowlett Bikes","Trek Domane SLR 6 - 2018",Trek,9
"Rowlett Bikes","Trek Domane ALR 4 Disc - 2018",Trek,9
"Rowlett Bikes","Trek Domane ALR 3 - 2018",Trek,9
"Rowlett Bikes","Trek X-Caliber 8 - 2018",Trek,9
"Rowlett Bikes","Trek Precaliber 16 Girls - 2017",Trek,9
"Rowlett Bikes","Trek Emonda S 5 - 2017",Trek,9
"Rowlett Bikes","Trek Fuel EX 5 27.5 Plus - 2017",Trek,9
"Rowlett Bikes","Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018",Electra,9
"Rowlett Bikes","Electra Treasure 1 20" - 2018"",Electra,9
"Rowlett Bikes","Electra Cruiser Lux Fat Tire 7D - 2018",Electra,9
"Santa Cruz Bikes","Trek Boone 5 Disc - 2018",Trek,10
"Santa Cruz Bikes","Trek Fuel EX 8 29 - 2018",Trek,10
"Santa Cruz Bikes","Surly Wednesday Frameset - 2017",Surly,10
"Santa Cruz Bikes","Sun Bicycles Lil Bolt Type-R - 2017","Sun Bicycles",10
"Santa Cruz Bikes","Haro Shift R3 - 2017",Haro,10
"Santa Cruz Bikes","Electra Townie Balloon 7i EQ - 2018",Electra,10
"Santa Cruz Bikes","Electra Heartchya 1 (20-inch) - Girl's - 2018",Electra,10
"Santa Cruz Bikes","Electra Amsterdam Royal 8i Ladies - 2018",Electra,10
"Santa Cruz Bikes","Electra Townie Original 21D Ladies' - 2018",Electra,10
"Santa Cruz Bikes","Electra Townie Commute 8D Ladies' - 2018",Electra,10
"Santa Cruz Bikes","Electra Townie Original 7D - 2015/2016",Electra,10
"Santa Cruz Bikes","Electra Townie Original 21D - 2016",Electra,10
"Baldwin Bikes","Trek Verve+ Lowstep - 2018",Trek,10
"Baldwin Bikes","Trek Neko+ - 2018",Trek,10
"Baldwin Bikes","Trek Kids' Dual Sport - 2018",Trek,10
"Baldwin Bikes","Surly Straggler - 2018",Surly,10
"Baldwin Bikes","Surly Wednesday - 2017",Surly,10
"Baldwin Bikes","Surly Big Dummy Frameset - 2017",Surly,10
"Baldwin Bikes","Electra Amsterdam Royal 8i - 2017/2018",Electra,10
"Baldwin Bikes","Electra White Water 3i - 2018",Electra,10
"Baldwin Bikes","Electra Townie Original 3i EQ Ladies' - 2018",Electra,10
"Baldwin Bikes","Electra Cruiser 1 - 2016/2017/2018",Electra,10
"Baldwin Bikes","Electra Girl's Hawaii 1 16" - 2017"",Electra,10
"Rowlett Bikes","Trek X-Caliber 7 - 2018",Trek,10
"Rowlett Bikes","Surly Wednesday - 2017",Surly,10
"Rowlett Bikes","Sun Bicycles Streamway 3 - 2017","Sun Bicycles",10
"Rowlett Bikes","Electra Sweet Ride 1 (20-inch) - Girl's - 2018",Electra,10
"Rowlett Bikes","Electra Amsterdam Royal 8i - 2017/2018",Electra,10
"Rowlett Bikes","Electra Townie Commute Go! - 2018",Electra,10
"Rowlett Bikes","Electra Townie Original 3i EQ - 2017/2018",Electra,10
"Rowlett Bikes","Electra Cruiser 1 - 2016/2017/2018",Electra,10
"Rowlett Bikes","Electra Townie Go! 8i - 2017/2018",Electra,10
"Santa Cruz Bikes","Trek Domane SL 5 Women's - 2018",Trek,11
"Santa Cruz Bikes","Trek Madone 9 Frameset - 2018",Trek,11
"Santa Cruz Bikes","Trek CrossRip 1 - 2018",Trek,11
"Santa Cruz Bikes","Trek Domane S 6 - 2017",Trek,11
"Santa Cruz Bikes","Trek Domane SL Disc Frameset - 2017",Trek,11
"Santa Cruz Bikes","Trek Conduit+ - 2016",Trek,11
"Santa Cruz Bikes","Surly ECR 27.5 - 2018",Surly,11
"Santa Cruz Bikes","Sun Bicycles Drifter 7 - Women's - 2017","Sun Bicycles",11
"Santa Cruz Bikes","Sun Bicycles Lil Kitt'n - 2017","Sun Bicycles",11
"Santa Cruz Bikes","Sun Bicycles Brickell Tandem CB - 2017","Sun Bicycles",11
"Santa Cruz Bikes","Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018",Electra,11
"Santa Cruz Bikes","Electra Townie Original 21D EQ Ladies' - 2018",Electra,11
"Santa Cruz Bikes","Electra Straight 8 3i - 2018",Electra,11
